drugname,pt,count_a,prr,chi2
PRAZOSIN 1 MG AT HS,TRISMUS,4,4245.341763510869,10396.465899947298
OLANZAPINE 15 MG HS,TRISMUS,4,4245.341763510869,10396.465899947298
OLANZAPINE 20 MG AT HS,TRISMUS,4,4245.341763510869,10396.465899947298
VANCOMYCIN HYDROCHLORIDE,PETECHIAE,4,4631.164207393627,10396.414876852285
VASOPRESSIN,INTESTINAL PERFORATION,17,681.5179301417378,10311.890524316954
TOCILIZUMAB-AAZG,INTESTINAL PERFORATION,17,681.5179301417378,10311.890524316954
NITROUS OXIDE,TRANSIENT ISCHAEMIC ATTACK,5,2911.140192992908,10310.450901454893
AMOXICILLIN\CLAVULANATE POTASSIUM,PULSE ABNORMAL,12,1395.316923305306,10237.952272470364
CYMBALTA,PRODUCT COUNTERFEIT,5,61728395.06096631,10184.849904564644
CYMBALTA,PRODUCT CONTAINER SEAL ISSUE,5,61728395.06096631,10184.849904564644
TIMOLOL MALEATE,NONSPECIFIC REACTION,30,368.4129368100255,10038.060484448086
KENALOG,ELECTROLYTE IMBALANCE,12,1157.62532138371,10008.667759186355
VYVGART,RIB FRACTURE,32,595.0348250787905,9984.972978385886
SENNA 8.6MG,PNEUMONITIS,4,3454.00501809718,9902.76383474655
METOPROLOL ER 360MG,PNEUMONITIS,4,3454.00501809718,9902.76383474655
NOVOLOG FLEXPEN INJECTION,PNEUMONITIS,4,3454.00501809718,9902.76383474655
FELODIPINE 2.5MG ER TABLETS,PNEUMONITIS,4,3454.00501809718,9902.76383474655
VENOFER,ANAPHYLACTIC SHOCK,8,1756.5577804652266,9870.454057249714
VYVGART,MENTAL IMPAIRMENT,32,579.7776014842259,9843.501801137843
7TABZ,PHYSICAL PRODUCT LABEL ISSUE,12,989.1582372616389,9748.647585190347
XANEX,PRODUCT PACKAGING QUANTITY ISSUE,4,3638.95565821297,9746.632033820644
DOXOPIN,PRODUCT PACKAGING QUANTITY ISSUE,4,3638.95565821297,9746.632033820644
FLUOXETINE HYDROCHLORIDE,FAECES SOFT,6,3843.982679917452,9684.981582326804
ACCUTANE,AGGRESSION,40,300.7832291481051,9515.39912604413
SODIUM CHLOR POSIFLUSH (5ML),POST PROCEDURAL HAEMORRHAGE,4,3513.475310369824,9451.113846216644
HUMATE,POST PROCEDURAL HAEMORRHAGE,4,3513.475310369824,9451.113846216644
MOLOXICAM,STREPTOCOCCAL BACTERAEMIA,3,6792.3026481697925,9430.8798034519
7-HYDROXYMITRAGYNINE,EUPHORIC MOOD,80,311.0215576116744,9395.011240386306
MIGRAINE FORMULA,EXPIRED PRODUCT ADMINISTERED,5,2996.5964340000683,9371.951171617162
ACCUTANE,BACK DISORDER,8,52287581.69900466,9357.79384272726
7-HYDROXYMITRAGYNINE,DRUG DEPENDENCE,117,138.67997260397738,9265.838121670547
TRAZODONE HCL,OFF LABEL USE,4,3543.985991079996,9240.752150589971
TRIKAFTA,TUBULOINTERSTITIAL NEPHRITIS,8,2578.567250723304,9058.250509914971
TIVICAY,HIV INFECTION,4,4429.626303230637,9039.62535889911
COLACE 100MG CAPSULES,PNEUMOCYSTIS JIROVECII PNEUMONIA,4,3135.1569435827328,8911.525017423555
MISOPROSTOL,ABORTION INDUCED,4,4075.3369562475577,8910.344144256753
CETUXIMAB,AGONAL RESPIRATION,3,8489.715025059108,8841.397701045256
HISTRELIN,BLOOD FOLLICLE STIMULATING HORMONE DECREASED,3,8489.715025059108,8841.397701045256
XCOPRI,EAR HAEMORRHAGE,4,56338028.16822059,8786.5157929532
CUTAQUIG,GROIN ABSCESS,12,2381.4396496987633,8741.248545260052
ONE TOUCH VERIO TEST STRIP,COMPLICATIONS OF TRANSPLANTED KIDNEY,4,2996.8586651208448,8664.426163420427
LATANOPROST 0.005 % EYE SOLUTION,COMPLICATIONS OF TRANSPLANTED KIDNEY,4,2996.8586651208448,8664.426163420427
DOXYLAMINE SUCCINATE,MYDRIASIS,4,5659.572819388967,8663.065350081793
DOXYLAMINE SUCCINATE,HALO VISION,4,5659.572819388967,8663.065350081793
D3K2,NYSTAGMUS,4,3396.2820618355427,8662.725213533882
HALOPERIDOL 7.5 MG PO DAILY AT BEDTIME,FOOD REFUSAL,6,2263.9854825942152,8553.322252002294
MIRTAZAPINE 15 MG PO DAILY AT BEDTIME,FOOD REFUSAL,6,2263.9854825942152,8553.322252002294
CUTAQUIG,NODULE,12,2041.2438812649925,8280.013451476072
PADCEV,HEPATIC MASS,5,4074.653965103823,8246.965919995575
PADCEV,CENTRAL NERVOUS SYSTEM LESION,5,4074.653965103823,8246.965919995575
MIGRAINE FORMULA,BELL'S PALSY,5,2547.111548499288,8246.35876948803
DROXIDOPA,ANEURYSM,9,1328.7627148095776,8193.727982655644
PROTEIN,CATARACT,3,4430.069443535515,8160.985727976463
METHYLPHENIDATE,SKIN LESION,4,3424.7232612166977,8152.701460370361
FOSAMAX,FEMUR FRACTURE,8,1912.8313762376617,8061.313224342563
HECTOROL,RESPIRATORY RATE INCREASED,6,2546.7356119915753,8018.445944708304
CIPROFLOXACIN HYDROCHLORIDE,MUSCLE FATIGUE,6,2122.4655570748246,8018.131086847008
TENECTEPLASE,CEREBRAL INFARCTION,9,1212.8214971462176,8005.979712504827
MIFEPRISTONE,VAGINAL HAEMORRHAGE,4,3087.5320069767404,7995.9018862468965
7-HYDROXYMITRAGYNINE,DEPENDENCE,80,213.02873627989396,7959.766943903205
IRON SUCROSE,EXPOSURE DURING PREGNANCY,16,843.9117906919492,7938.673020877772
7-HYDROXYMITRAGYNINE,LOSS OF EMPLOYMENT,80,207.3479853359087,7855.094164732821
DIPHENHYDRAMINE SDV (1ML/VL),SHOCK HAEMORRHAGIC,4,2964.0485664506054,7820.366420344866
KISUNLA,MAGNETIC RESONANCE IMAGING ABNORMAL,4,49999999.99937499,7797.589794014068
BUPIVACAINE,PILOERECTION,4,5093.515547651094,7796.212013033022
BUPIVACAINE,ANTIACETYLCHOLINE RECEPTOR ANTIBODY POSITIVE,4,5093.515547651094,7796.212013033022
SUCCINYLCHOLINE,SUBARACHNOID HAEMORRHAGE,7,1415.114050347596,7775.517184050146
PHENYLEPHRINE,SUBARACHNOID HAEMORRHAGE,7,1415.114050347596,7775.517184050146
ROCURONIUM,SUBARACHNOID HAEMORRHAGE,7,1415.114050347596,7775.517184050146
CALASPARGASE PEGOL,BLOOD TRIGLYCERIDES INCREASED,4,3543.71909453852,7747.326591684563
BACTRIM,BACK INJURY,4,49382716.04877304,7701.274641891921
BACTRIM,EPIDIDYMITIS,4,49382716.04877304,7701.274641891921
DOXYLAMINE SUCCINATE,MOTOR DYSFUNCTION,4,4527.704380281935,7699.76270554337
KETAMINE,CARDIAC FIBRILLATION,6,1797.9686359728476,7697.117144529222
VYVGART,EYE DISORDER,32,383.2434992061733,7667.027338139189
GAMMAGARD LIQUID,VASCULAR GRAFT,8,1810.7781484913119,7630.726753945451
ESOMEPRAZOLE 20 MG CAPSULES,HERPES ZOSTER,7,1297.9855761923332,7493.441000481113
LOSARTAN 25 MG TABLET,HERPES ZOSTER,7,1297.9855761923332,7493.441000481113
